suite	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	n_total	n_ok	n_fail	wall_ms_q25	wall_ms_median	wall_ms_q75	throughput_tx_s_q25	throughput_tx_s_median	throughput_tx_s_q75	sum_build_ms_q25	sum_build_ms_median	sum_build_ms_q75	sum_pack_ms_q25	sum_pack_ms_median	sum_pack_ms_q75	sum_submit_ack_ms_q25	sum_submit_ack_ms_median	sum_submit_ack_ms_q75	sum_inproc_ms_q25	sum_inproc_ms_median	sum_inproc_ms_q75	bench_oneway_ms_q25	bench_oneway_ms_median	bench_oneway_ms_q75	submitted_q25	submitted_median	submitted_q75	batches_q25	batches_median	batches_q75	host	nproc
standard	1024	8	128	inproc	0	NA	NA	3	3	0	88.231079	94.169189	101.565551	10135.912036	10874.044960	11658.696187	630.482544	683.786621	736.100219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000489	0.000977	0.001465				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	8	128	zmq	NA	0	0	3	3	0	69.872071	71.314209	75.091065	13671.361312	14358.989808	14661.600873	477.740967	487.786377	501.325561	0.291016	0.306641	0.330688	6.316162	6.434326	6.437256	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	8	128	zmq	NA	0	1	3	3	0	76.615600	81.748047	82.146606	12465.811430	12526.293155	13425.673260	518.481323	555.068359	560.968505	0.342041	0.354980	0.391602	6.714355	6.772949	7.030029	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	8	16	inproc	0	NA	NA	3	3	0	110.193848	118.714844	118.836304	8616.904411	8625.711559	9348.615002	821.509399	882.609619	884.491699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011963	0.012939	0.014404				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	8	16	zmq	NA	0	0	3	3	0	75.822510	77.084961	79.736572	12856.505326	13284.043834	13508.969310	517.644409	527.460693	546.791381	0.386597	0.412598	0.424683	34.736328	34.913086	36.140747	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	8	16	zmq	NA	0	1	3	3	0	75.133057	75.338135	79.267090	12950.165730	13592.054053	13629.255550	517.685547	520.029053	550.290649	0.386108	0.400146	0.424194	35.400147	37.320801	37.650757	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	8	32	inproc	0	NA	NA	3	3	0	111.095092	117.955078	125.379638	8195.935284	8681.271008	9252.608185	796.538696	860.623535	896.676147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008422	0.010986	0.011596				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	8	32	zmq	NA	0	0	3	3	0	84.914551	90.157227	140.385621	8365.024395	11357.935898	12105.326058	582.863281	627.475342	901.863159	0.378662	0.472656	0.520508	20.813111	22.195557	36.121460	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	8	32	zmq	NA	0	1	3	3	0	76.984009	77.447021	77.822998	13158.371261	13221.941662	13301.944892	533.683960	537.297363	539.554566	0.317749	0.334473	0.341064	19.591919	19.597656	20.146362	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	8	64	inproc	0	NA	NA	3	3	0	96.424560	108.744141	112.028565	9148.389257	9416.599314	10795.929630	688.808960	759.904785	791.489135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003662	0.004883	0.005982				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
