suite	rep	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	exit_code	wall_ms	submitted	batches	sum_build_ms	sum_pack_ms	sum_submit_ack_ms	sum_inproc_ms	zmq	throughput_tx_s	bench_oneway_ms	host	nproc	unix_ts
standard	3	128	2	128	zmq	NA	0	1	0	56.197998	128	1	55.154053	0.029785	0.864014	0.000000	1	2277.661206	NA	Ada	12	1774747658
standard	1	128	4	8	inproc	0	NA	NA	0	24.818115	128	16	93.020996	0.000000	0.000000	0.002930	0	5157.522994	NA	Ada	12	1774747658
standard	2	128	4	8	inproc	0	NA	NA	0	26.318848	128	16	96.174805	0.000000	0.000000	0.002930	0	4863.434816	NA	Ada	12	1774747658
standard	3	128	4	8	inproc	0	NA	NA	0	30.989014	128	16	111.575928	0.000000	0.000000	0.003906	0	4130.496096	NA	Ada	12	1774747658
standard	1	128	4	8	zmq	NA	0	0	0	187.269043	128	16	60.302002	0.070557	617.146973	0.000000	1	683.508593	NA	Ada	12	1774747660
standard	2	128	4	8	zmq	NA	0	0	0	165.065186	128	16	59.445801	0.069824	531.522461	0.000000	1	775.451223	NA	Ada	12	1774747662
standard	3	128	4	8	zmq	NA	0	0	0	198.192871	128	16	67.036865	0.070068	607.149170	0.000000	1	645.835540	NA	Ada	12	1774747663
standard	1	128	4	8	zmq	NA	0	1	0	197.821045	128	16	57.822754	0.072266	672.752930	0.000000	1	647.049459	NA	Ada	12	1774747665
standard	2	128	4	8	zmq	NA	0	1	0	18.333008	128	16	56.145996	0.047363	9.131592	0.000000	1	6981.942151	NA	Ada	12	1774747666
standard	3	128	4	8	zmq	NA	0	1	0	22.372803	128	16	70.988037	0.066650	10.189209	0.000000	1	5721.232226	NA	Ada	12	1774747667
standard	1	128	4	16	inproc	0	NA	NA	0	26.970947	128	8	90.921875	0.000000	0.000000	0.000977	0	4745.847402	NA	Ada	12	1774747667
standard	2	128	4	16	inproc	0	NA	NA	0	25.897949	128	8	91.302002	0.000000	0.000000	0.000977	0	4942.476291	NA	Ada	12	1774747667
standard	3	128	4	16	inproc	0	NA	NA	0	26.193848	128	8	92.814453	0.000000	0.000000	0.001953	0	4886.643676	NA	Ada	12	1774747667
standard	1	128	4	16	zmq	NA	0	0	0	16.813965	128	8	49.906738	0.038086	4.822021	0.000000	1	7612.719617	NA	Ada	12	1774747670
standard	2	128	4	16	zmq	NA	0	0	0	31.238037	128	8	71.517090	0.054688	6.180176	0.000000	1	4097.568600	NA	Ada	12	1774747671
standard	3	128	4	16	zmq	NA	0	0	0	18.482910	128	8	53.043457	0.046631	4.829102	0.000000	1	6925.316355	NA	Ada	12	1774747672
standard	1	128	4	16	zmq	NA	0	1	0	22.225098	128	8	67.219727	0.066162	7.469971	0.000000	1	5759.254784	NA	Ada	12	1774747674
standard	2	128	4	16	zmq	NA	0	1	0	32.236816	128	8	104.974854	0.081299	6.037598	0.000000	1	3970.615410	NA	Ada	12	1774747675
standard	3	128	4	16	zmq	NA	0	1	0	23.889893	128	8	66.979004	0.052002	6.429932	0.000000	1	5357.914423	NA	Ada	12	1774747676
standard	1	128	4	32	inproc	0	NA	NA	0	38.208984	128	4	112.374023	0.000000	0.000000	0.002197	0	3349.997444	NA	Ada	12	1774747676
standard	2	128	4	32	inproc	0	NA	NA	0	34.200195	128	4	122.621826	0.000000	0.000000	0.000977	0	3742.668685	NA	Ada	12	1774747676
standard	3	128	4	32	inproc	0	NA	NA	0	102.364014	128	4	283.673340	0.000000	0.000000	0.003906	0	1250.439441	NA	Ada	12	1774747676
standard	1	128	4	32	zmq	NA	0	0	0	40.875000	128	4	146.143066	0.114746	4.570068	0.000000	1	3131.498471	NA	Ada	12	1774747679
standard	2	128	4	32	zmq	NA	0	0	0	313.297119	128	4	167.429688	0.161377	769.811523	0.000000	1	408.557858	NA	Ada	12	1774747680
standard	3	128	4	32	zmq	NA	0	0	0	28.616211	128	4	97.741943	0.131104	4.760010	0.000000	1	4472.989114	NA	Ada	12	1774747681
standard	1	128	4	32	zmq	NA	0	1	0	165.503906	128	4	99.093750	0.145020	457.080078	0.000000	1	773.395643	NA	Ada	12	1774747684
standard	2	128	4	32	zmq	NA	0	1	0	199.369873	128	4	97.971680	0.122803	555.361328	0.000000	1	642.022779	NA	Ada	12	1774747685
standard	3	128	4	32	zmq	NA	0	1	0	187.845947	128	4	159.287842	0.169922	468.028076	0.000000	1	681.409431	NA	Ada	12	1774747686
standard	1	128	4	64	inproc	0	NA	NA	0	80.862061	128	2	150.005859	0.000000	0.000000	0.000977	0	1582.942596	NA	Ada	12	1774747686
standard	2	128	4	64	inproc	0	NA	NA	0	113.619873	128	2	202.600098	0.000000	0.000000	0.001953	0	1126.563484	NA	Ada	12	1774747687
standard	3	128	4	64	inproc	0	NA	NA	0	90.685059	128	2	130.993896	0.000000	0.000000	0.000977	0	1411.478384	NA	Ada	12	1774747687
standard	1	128	4	64	zmq	NA	0	0	0	35.328125	128	2	66.925781	0.041260	2.064697	0.000000	1	3623.175586	NA	Ada	12	1774747689
standard	2	128	4	64	zmq	NA	0	0	0	48.065918	128	2	88.447754	0.080078	2.060059	0.000000	1	2663.009580	NA	Ada	12	1774747690
standard	3	128	4	64	zmq	NA	0	0	0	198.805176	128	2	192.562744	0.104248	115.000732	0.000000	1	643.846416	NA	Ada	12	1774747691
standard	1	128	4	64	zmq	NA	0	1	0	166.586914	128	2	91.371094	0.053955	216.412109	0.000000	1	768.367676	NA	Ada	12	1774747694
standard	2	128	4	64	zmq	NA	0	1	0	339.149902	128	2	114.662109	0.125000	538.875977	0.000000	1	377.414232	NA	Ada	12	1774747695
standard	3	128	4	64	zmq	NA	0	1	0	54.642090	128	2	95.688965	0.066895	2.473145	0.000000	1	2342.516554	NA	Ada	12	1774747697
standard	1	128	4	128	inproc	0	NA	NA	0	82.009033	128	1	81.403076	0.000000	0.000000	0.000977	0	1560.803670	NA	Ada	12	1774747697
standard	2	128	4	128	inproc	0	NA	NA	0	149.963867	128	1	149.529053	0.000000	0.000000	0.000000	0	853.538938	NA	Ada	12	1774747697
standard	3	128	4	128	inproc	0	NA	NA	0	85.219971	128	1	84.727051	0.000000	0.000000	0.000000	0	1501.995353	NA	Ada	12	1774747697
standard	1	128	4	128	zmq	NA	0	0	0	63.088867	128	1	61.300049	0.093018	1.168945	0.000000	1	2028.884108	NA	Ada	12	1774747699
standard	2	128	4	128	zmq	NA	0	0	0	85.914062	128	1	80.850098	0.069092	2.283936	0.000000	1	1489.860871	NA	Ada	12	1774747701
standard	3	128	4	128	zmq	NA	0	0	0	84.904053	128	1	81.869141	0.076904	2.249023	0.000000	1	1507.584101	NA	Ada	12	1774747702
standard	1	128	4	128	zmq	NA	0	1	0	53.716064	128	1	51.802979	0.038086	1.250977	0.000000	1	2382.899814	NA	Ada	12	1774747704
standard	2	128	4	128	zmq	NA	0	1	0	46.900879	128	1	45.385010	0.027100	1.109863	0.000000	1	2729.159943	NA	Ada	12	1774747705
standard	3	128	4	128	zmq	NA	0	1	0	46.425049	128	1	44.781982	0.031982	1.026855	0.000000	1	2757.132264	NA	Ada	12	1774747706
standard	1	128	8	8	inproc	0	NA	NA	0	13.351074	128	16	80.040283	0.000000	0.000000	0.002197	0	9587.243536	NA	Ada	12	1774747706
standard	2	128	8	8	inproc	0	NA	NA	0	11.792236	128	16	79.625000	0.000000	0.000000	0.000977	0	10854.599284	NA	Ada	12	1774747706
standard	3	128	8	8	inproc	0	NA	NA	0	12.792969	128	16	87.648926	0.000000	0.000000	0.001953	0	10005.496183	NA	Ada	12	1774747706
standard	1	128	8	8	zmq	NA	0	0	0	40.202881	128	16	182.222900	0.159668	20.952148	0.000000	1	3183.851437	NA	Ada	12	1774747708
standard	2	128	8	8	zmq	NA	0	0	0	197.085938	128	16	84.629883	0.095947	1080.763916	0.000000	1	649.462877	NA	Ada	12	1774747710
standard	3	128	8	8	zmq	NA	0	0	0	16.977051	128	16	82.797852	0.066406	8.462891	0.000000	1	7539.589865	NA	Ada	12	1774747711
standard	1	128	8	8	zmq	NA	0	1	0	14.610840	128	16	81.332520	0.075928	11.924072	0.000000	1	8760.618922	NA	Ada	12	1774747713
standard	2	128	8	8	zmq	NA	0	1	0	186.114990	128	16	73.940674	0.061768	1013.860596	0.000000	1	687.746859	NA	Ada	12	1774747714
standard	3	128	8	8	zmq	NA	0	1	0	13.495850	128	16	77.835205	0.133789	8.291260	0.000000	1	9484.397330	NA	Ada	12	1774747715
standard	1	128	8	16	inproc	0	NA	NA	0	11.673096	128	8	83.636963	0.000000	0.000000	0.001953	0	10965.385983	NA	Ada	12	1774747715
standard	2	128	8	16	inproc	0	NA	NA	0	13.399170	128	8	91.817383	0.000000	0.000000	0.000977	0	9552.830567	NA	Ada	12	1774747715
standard	3	128	8	16	inproc	0	NA	NA	0	14.777100	128	8	94.193848	0.000000	0.000000	0.002930	0	8662.051646	NA	Ada	12	1774747715
standard	1	128	8	16	zmq	NA	0	0	0	22.279053	128	8	74.479736	0.047119	13.580811	0.000000	1	5745.307106	NA	Ada	12	1774747718
standard	2	128	8	16	zmq	NA	0	0	0	305.330078	128	8	81.443359	0.048584	1424.644287	0.000000	1	419.218443	NA	Ada	12	1774747719
standard	3	128	8	16	zmq	NA	0	0	0	12.249023	128	8	76.197021	0.046875	4.222168	0.000000	1	10449.812645	NA	Ada	12	1774747720
standard	1	128	8	16	zmq	NA	0	1	0	12.711182	128	8	77.634766	0.048584	5.143555	0.000000	1	10069.874196	NA	Ada	12	1774747722
standard	2	128	8	16	zmq	NA	0	1	0	197.943848	128	8	108.516357	0.058594	1035.478027	0.000000	1	646.648034	NA	Ada	12	1774747724
standard	3	128	8	16	zmq	NA	0	1	0	17.864990	128	8	101.869385	0.063232	6.630859	0.000000	1	7164.851384	NA	Ada	12	1774747725
standard	1	128	8	32	inproc	0	NA	NA	0	32.625000	128	4	115.291260	0.000000	0.000000	0.002930	0	3923.371648	NA	Ada	12	1774747725
standard	2	128	8	32	inproc	0	NA	NA	0	26.673096	128	4	98.580322	0.000000	0.000000	0.000977	0	4798.843052	NA	Ada	12	1774747725
standard	3	128	8	32	inproc	0	NA	NA	0	31.720947	128	4	111.578857	0.000000	0.000000	0.001953	0	4035.188449	NA	Ada	12	1774747725
standard	1	128	8	32	zmq	NA	0	0	0	27.489990	128	4	91.071045	0.067871	3.536133	0.000000	1	4656.240286	NA	Ada	12	1774747727
standard	2	128	8	32	zmq	NA	0	0	0	22.093018	128	4	71.003906	0.072021	3.381836	0.000000	1	5793.685699	NA	Ada	12	1774747728
standard	3	128	8	32	zmq	NA	0	0	0	20.427979	128	4	69.312256	0.033691	2.696045	0.000000	1	6265.916126	NA	Ada	12	1774747729
standard	1	128	8	32	zmq	NA	0	1	0	24.122070	128	4	66.874023	0.046143	2.732666	0.000000	1	5306.343873	NA	Ada	12	1774747732
standard	2	128	8	32	zmq	NA	0	1	0	22.856934	128	4	75.817871	0.038086	3.130127	0.000000	1	5600.051270	NA	Ada	12	1774747733
standard	3	128	8	32	zmq	NA	0	1	0	22.030029	128	4	68.364990	0.044189	2.762695	0.000000	1	5810.251011	NA	Ada	12	1774747734
